model,accuracy,precision,recall,f1,auc
Logistic Regression C=1.0,0.8298131151166648,0.38839907192575407,0.7911153119092628,0.5210084033613446,0.8947059290044069
Logistic Regression C=0.01,0.829923697887869,0.38857938718662954,0.7911153119092628,0.5211706102117061,0.8946983533634071
