,precision,recall,f1-score,support
no,0.9679152148664344,0.8349405134627427,0.8965239023734284,7985.0
yes,0.38839907192575407,0.7911153119092628,0.5210084033613446,1058.0
accuracy,0.8298131151166648,0.8298131151166648,0.8298131151166648,0.8298131151166648
macro avg,0.6781571433960942,0.8130279126860027,0.7087661528673865,9043.0
weighted avg,0.900113812761907,0.8298131151166648,0.8525898762808943,9043.0
