model,train_accuracy,test_accuracy,test_auc
Decision Tree gini max_depth=5,0.9042523777925238,0.8980426849496849,0.8666709674211928
Decision Tree entropy max_depth=5,0.9024552090245521,0.8993696782041358,0.8792488988687437
