feature,importance
duration,0.38413286062855945
poutcome_success,0.16361279813732327
age,0.06077651236560615
month,0.058122924853797865
pdays,0.05654995683577394
housing_yes,0.038580196583876826
previous,0.030469977595208957
contact_missing,0.024961774549062662
poutcome_missing,0.01854358730197925
campaign,0.017020271713050008
education,0.011287320931090174
marital_married,0.007745866721852631
loan_yes,0.007715276705214725
job_retired,0.007189146052120872
job_student,0.006669856782776366
marital_single,0.006539693026963879
job_blue-collar,0.006534486619484514
day_18,0.004398181128872818
day_12,0.003863199426924639
job_management,0.003515115831437347
day_27,0.0033536934842521163
job_technician,0.0033431920685679023
day_23,0.0032975870113653824
contact_telephone,0.0031760829286928962
day_30,0.0030795214083851473
poutcome_other,0.003034123468821733
day_10,0.0029344843472786214
day_3,0.0028286831569553526
day_22,0.002770551624347489
day_17,0.002668675545980225
day_29,0.002651159035738459
day_13,0.0026177045067112994
day_21,0.00251172883800956
day_25,0.0025044209854579494
day_15,0.0024256202380136525
day_11,0.0023494629485681226
day_4,0.0022789804218212215
day_19,0.0022028195991774494
day_20,0.0021972123742423416
day_28,0.00216201546483274
day_2,0.00199281884097908
day_16,0.001989065852741835
day_9,0.0018667415343443443
job_unemployed,0.0018467468707835605
job_services,0.0018343917667750223
job_self-employed,0.0017895701233821817
day_26,0.0017722140806045554
day_5,0.0017254362158171804
day_8,0.0015657479323261036
day_7,0.0015197515533653982
day_14,0.001477693155408162
day_6,0.0014324137085043637
day_24,0.0013738164529783206
job_housemaid,0.0013353720737269686
job_entrepreneur,0.0012540843613217116
day_31,0.0009445724243328022
default_yes,0.0009018216626876967
job_missing,0.0007610181417246555
