model,cv_mean_auc,cv_std_auc,test_auc
Controlled Decision Tree,0.857106590498724,0.008281942874189355,0.8666709674211928
Gradient Boosting,0.9214909996507405,0.0013274194796985721,0.9217733391886725
Logistic Regression C=1.0,0.89569310822861,0.003753000322962554,0.8947059290044069
Random Forest,0.9154940509519006,0.00269476644045981,0.9155410724030051
Tuned Random Forest,0.9257980733287132,,0.9259610114901168
