model,cv_mean_auc,cv_std_auc
Logistic Regression C=1.0,0.89569310822861,0.003753000322962554
Controlled Decision Tree,0.857106590498724,0.008281942874189355
Random Forest,0.9154940509519006,0.00269476644045981
Gradient Boosting,0.9214909996507405,0.0013274194796985721
