mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.25708446502685545,0.0015159060087861572,0.0170565128326416,0.00014920366499389525,5,1,50,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 50}",0.8932041053630403,0.8846621213534241,0.8977277117462436,0.8965766381994159,0.8844453919956353,0.8913231937315519,0.005724131380185867,15
0.4332432270050049,0.00431992979599598,0.02275819778442383,0.00021124033572196755,5,1,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.8909314487418046,0.8873814636189901,0.8962666566108216,0.8949124088861055,0.8844946202410999,0.8907973196197643,0.004433005506175805,16
0.7914214134216309,0.006502826507856462,0.03428282737731934,0.00037833651432218825,5,1,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.8924464606361514,0.8901484535868821,0.8981202409188234,0.8959969108350628,0.88718773839148,0.89277996087368,0.003928774957004343,13
0.2566862106323242,0.0007782774918771858,0.01706995964050293,6.629298796622422e-05,5,5,50,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__n_estimators': 50}",0.8922215449772104,0.8842904692752812,0.897157079509016,0.8953909962649456,0.8825520477654634,0.8903224275583833,0.005878313122745755,18
0.4381248474121094,0.0023219582084415026,0.023307323455810547,0.0005654235214224963,5,5,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.8913645339740145,0.8879149328454208,0.8960251499642591,0.8939631920778798,0.8835864886602921,0.8905708595043732,0.004420916338932926,17
0.7965482234954834,0.0032981522905112036,0.03478574752807617,0.00038550840727062533,5,5,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.8923897459924119,0.8903938161239084,0.8978080291116715,0.8958867950228393,0.885828317049148,0.8924613406599958,0.004209456038896701,14
0.387376594543457,0.002564733860729226,0.02219400405883789,0.00013826572378846148,10,1,50,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 50}",0.9116996481286572,0.9141687243072487,0.9190562700319735,0.917471807576042,0.9109788610952878,0.9146750622278418,0.0031555708304335196,11
0.6884924888610839,0.0046190587859872385,0.03290228843688965,0.00023908980297925676,10,1,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.9139701767942552,0.9148913965458284,0.9198142478385016,0.9169025365871354,0.9118918969937827,0.9154940509519006,0.00269476644045981,8
1.3196840763092041,0.026849072735673316,0.05468273162841797,0.0006980084772085789,10,1,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9143939175256204,0.9159783192777238,0.9204201864435009,0.9187441541458511,0.9134028895129402,0.9165878933811273,0.002633070104796221,7
0.38346285820007325,0.002748626965137354,0.022306060791015624,0.00015010138462837478,10,5,50,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 50}",0.9134859281069263,0.9103178647612027,0.9186820410186054,0.9139020195054894,0.9113339151889865,0.913544353716242,0.0028921769878502927,12
0.6780978679656983,0.004877305871299774,0.03319010734558105,0.0001729822074032493,10,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.9126787852815046,0.9119396445166841,0.9198506633068314,0.9166369631576551,0.9126101481992271,0.9147432408923806,0.003044475711261681,10
1.2844940662384032,0.008554152650953705,0.05515456199645996,0.0004369499842481216,10,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.9134007173616014,0.9137156547960049,0.9199186881410717,0.9167443029409991,0.9123851973256849,0.9152329121130723,0.0027571465722058246,9
0.6409798622131347,0.0035133671118496193,0.038890933990478514,0.00010573605670805732,,1,50,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 50}",0.9174702012194851,0.9189176736522824,0.9224065855433549,0.919224129539131,0.917551109467702,0.919113939884391,0.001790893259756502,6
1.1972002029418944,0.00941195614285985,0.06679539680480957,0.0006007344025578682,,1,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.9198461099490624,0.9236405324107999,0.9255828646921349,0.9237764467644644,0.9218916156895229,0.9229475139011967,0.001941448204072765,5
2.3092528343200684,0.01962627160441429,0.12116885185241699,0.0007443848047619287,,1,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9229349763371334,0.9260865711566162,0.9293757113262643,0.9261736402362808,0.9244194675872718,0.9257980733287132,0.0021504256933832684,1
0.5573231697082519,0.003035356879488157,0.03333783149719238,0.00017244544047531038,,5,50,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 50}",0.9219111521158911,0.9230076969080621,0.9292582390921345,0.9248971296231523,0.9207266089030577,0.9239601653284595,0.00298358931786067,4
1.0284910202026367,0.007332890066369202,0.054873991012573245,0.00022720819750587712,,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.9230564548481122,0.9239343753284454,0.9289014784125593,0.9267587345898011,0.9230103553279951,0.9251322797013826,0.0023280378511927077,3
1.9806304454803467,0.0229271787056724,0.09909429550170898,0.0020651540565001522,,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",0.9229100885081514,0.9245806262036828,0.9294410558341555,0.927605238329482,0.9238792523673048,0.9256832522485554,0.0024484997521216877,2
